 index ,        artists         ,           id           , marketsize 
   137 , 5lJ4XQ2hlPlxACN7q3xKL1 , 6NUpRcLLoLzBWcko0kzPms ,         57 , The Monitor
   138 , 5lJ4XQ2hlPlxACN7q3xKL1 , 72ELcjUGa9v82EEP2jZLsv ,         57 , The Airing Of Grievances
   139 , 5lJ4XQ2hlPlxACN7q3xKL1 , 1I54ryVuEVaYUFrc76ZnMf ,          2 , The Airing of Grievances
   140 , 5lJ4XQ2hlPlxACN7q3xKL1 , 6x4py9ucjM5lMOLsJ2fhrd ,         53 , Fired Up
   141 , 5lJ4XQ2hlPlxACN7q3xKL1 , 3wxUFm9lMMmXikm1wHZO04 ,         53 , Come On, Siobhán
   142 , 5lJ4XQ2hlPlxACN7q3xKL1 , 3SwJTU4l1sR8YyxBocrvPD ,         53 , Stranded ( On My Own )
   143 , 5lJ4XQ2hlPlxACN7q3xKL1 , 3WqpVkfIk7ftgFE3g0GI6y ,         53 , Fatal Flaw
   144 , 5lJ4XQ2hlPlxACN7q3xKL1 , 2goOrtXNFTfwD09W6sbG5Y ,         53 , Dimed Out
   145 , 5lJ4XQ2hlPlxACN7q3xKL1 , 3hwP0Gw44T4QgiMKsQlOM4 ,          2 , In A Big City
   146 , 5lJ4XQ2hlPlxACN7q3xKL1 , 3XsYLWHRp8NvAaLMXx93L0 ,         57 , My Time Outside The Womb
   147 , 23NIwARd4vPbxt3wwNnJ6k , 4RNew41ZeRuoRNg3YAhvpe ,         59 , Human Performance
   148 , 23NIwARd4vPbxt3wwNnJ6k , 3B1sxHUjd4edSd74M5gcBX ,         59 , Monastic Living
   149 , 23NIwARd4vPbxt3wwNnJ6k , 0Zj7AxTX3Q312lz6GLFTrt ,         57 , Content Nausea
   150 , 23NIwARd4vPbxt3wwNnJ6k , 4fqtlYReTZcjBAIhpKP2CQ ,          2 , Content Nausea
   151 , 23NIwARd4vPbxt3wwNnJ6k , 69Wxc42JRMuXkCFunDktKV ,          2 , Sunbathing Animal + Content Nausea
   152 , 23NIwARd4vPbxt3wwNnJ6k , 6QLvKr5uNyu6fwFXroL8oE ,          2 , Sunbathing Animal
   153 , 23NIwARd4vPbxt3wwNnJ6k , 2hamtboXQEXAt87uUG8Gd5 ,         57 , Sunbathing Animal
   154 , 23NIwARd4vPbxt3wwNnJ6k , 2XnEyEmpBiZDigcDsvOVCD ,         34 , Light Up Gold +Tally All The Things That You Broke
   155 , 23NIwARd4vPbxt3wwNnJ6k , 198JgCiP5oHBycAKedKHRm ,          2 , Light Up Gold + Tally All The Things That You Broke
   156 , 23NIwARd4vPbxt3wwNnJ6k , 1aYXn1WnQWLTmOpQtKVeYJ ,          2 , Light Up Gold
   157 , 23NIwARd4vPbxt3wwNnJ6k , 7p1ydiRQ7EOYgp4iWPdG3n ,         58 , Light Up Gold
   158 , 23NIwARd4vPbxt3wwNnJ6k , 4MdnAV4OHefdPxJFowPd3F ,         34 , Tally All The Things That You Broke
   159 , 23NIwARd4vPbxt3wwNnJ6k , 7d7tzfM52f8LobDgWFTylZ ,          2 , Tally All the Things That You Broke
   160 , 23NIwARd4vPbxt3wwNnJ6k , 0avLx0SWxt6VktnahOQnNb ,         32 , You've Got Me Wonderin' Now
   161 , 4kwxTgCKMipBKhSnEstNKj , 5Hrm31iC0yClUPK1h8pJMr ,          2 , Painting With
   162 , 4kwxTgCKMipBKhSnEstNKj , 04EajKw866bzJn3EW8HOdQ ,         57 , Painting With
   163 , 4kwxTgCKMipBKhSnEstNKj , 07ItttFbXOwyTMyDkaKgF8 ,          2 , Live At 9:30
